timestamps,TP9,AF7,AF8,TP10,Right AUX
1712217077.356,-36.133,-35.645,-46.875,-50.293,0.000
1712217077.360,-48.340,-42.969,-42.480,-43.457,0.000
1712217077.364,-53.711,-50.781,-43.457,-40.527,0.000
1712217077.367,-60.547,-35.645,-47.852,-46.875,0.000
1712217077.371,-75.195,-43.945,-43.945,-45.898,0.000
1712217077.374,-55.176,-32.227,-43.945,-44.922,0.000
1712217077.378,-47.852,-18.066,-45.898,-46.875,0.000
1712217077.382,-28.809,-39.062,-39.551,-25.391,0.000
1712217077.385,-30.762,-31.738,-41.504,-30.273,0.000
1712217077.393,-39.062,-36.621,-35.156,-27.832,0.000
1712217077.396,-23.438,-43.457,-33.691,-21.973,0.000
1712217077.400,-19.531,-28.809,-44.434,-40.039,0.000
1712217077.403,-21.484,-33.203,-41.504,-40.527,0.000
1712217077.407,-25.391,-37.598,-34.668,-37.598,0.000
1712217077.411,-40.527,-26.367,-39.062,-45.410,0.000
1712217077.414,-45.410,-25.391,-37.109,-40.527,0.000
1712217077.418,-24.902,-34.180,-27.344,-26.367,0.000
1712217077.422,-16.113,-41.504,-28.809,-25.391,0.000
1712217077.425,-42.480,-39.551,-31.250,-26.367,0.000
1712217077.429,-51.270,-19.043,-32.227,-37.598,0.000
1712217077.432,-45.410,-22.461,-30.273,-43.457,0.000
1712217077.441,-36.621,-40.039,-31.250,-36.621,0.000
1712217077.444,-34.668,-27.344,-36.621,-46.875,0.000
1712217077.448,-56.152,-38.574,-30.762,-39.062,0.000
1712217077.452,-55.176,-39.551,-29.785,-40.039,0.000
1712217077.455,-55.176,-25.391,-31.738,-46.875,0.000
1712217077.459,-58.105,-34.180,-29.297,-48.828,0.000
1712217077.462,-59.082,-35.156,-32.715,-53.711,0.000
1712217077.466,-55.664,-37.109,-40.039,-50.781,0.000
1712217077.470,-53.711,-40.039,-38.086,-48.828,0.000
1712217077.473,-60.547,-34.668,-34.668,-39.062,0.000
1712217077.477,-52.246,-27.344,-29.785,-42.480,0.000
