channel,band,feature_type,window_shift,subject_id,mean_correlation
AF8,alpha,energy,win-4,10,-0.24539731731571393
AF8,alpha,energy,win-5,10,-0.24072363071965103
AF8,alpha,energy,win-6,10,-0.23481575362190774
AF8,alpha,energy,win-7,10,-0.23596122537930234
AF8,alpha,energy,win-8,10,-0.23992339299737414
AF8,alpha,energy,win-9,10,-0.23765751796534768
AF8,alpha,energy,win0,10,-0.22743561339700336
AF8,alpha,skewness,win-1,10,0.011945610246358904
AF8,alpha,skewness,win-2,10,0.01919935149405737
AF8,alpha,skewness,win-3,10,0.008824441572337945
AF8,alpha,skewness,win-4,10,-0.0021977823859792955
AF8,alpha,skewness,win-5,10,-0.00039027790133049263
AF8,alpha,skewness,win-6,10,-0.002085174265457123
AF8,alpha,skewness,win-7,10,-0.011647134424198808
AF8,alpha,skewness,win-8,10,-0.017464204738357806
AF8,alpha,skewness,win-9,10,0.010761405281826342
AF8,alpha,skewness,win0,10,0.010675197485712723
AF8,alpha,standard_deviation,win-1,10,-0.21978246755366931
AF8,alpha,standard_deviation,win-2,10,-0.2208215512782727
AF8,alpha,standard_deviation,win-3,10,-0.2262079869963443
AF8,alpha,standard_deviation,win-4,10,-0.2231393985415739
AF8,alpha,standard_deviation,win-5,10,-0.21694159008869834
AF8,alpha,standard_deviation,win-6,10,-0.20748643582126397
AF8,alpha,standard_deviation,win-7,10,-0.20590180360006738
AF8,alpha,standard_deviation,win-8,10,-0.20541045964007154
AF8,alpha,standard_deviation,win-9,10,-0.20015777081852776
AF8,alpha,standard_deviation,win0,10,-0.2161993705412769
AF8,alpha,total_variation,win-1,10,-0.206420803231065
AF8,alpha,total_variation,win-2,10,-0.2105055643945694
AF8,alpha,total_variation,win-3,10,-0.21652275851932123
AF8,alpha,total_variation,win-4,10,-0.21608062640427309
AF8,alpha,total_variation,win-5,10,-0.2121442707760129
AF8,alpha,total_variation,win-6,10,-0.20352400722598787
AF8,alpha,total_variation,win-7,10,-0.20158407284543345
AF8,alpha,total_variation,win-8,10,-0.20441988228878288
AF8,alpha,total_variation,win-9,10,-0.1995598491322647
AF8,alpha,total_variation,win0,10,-0.20506827763627408
AF8,beta,approx_entropy,win-1,10,0.00960728496067853
AF8,beta,approx_entropy,win-2,10,0.03994465320136998
AF8,beta,approx_entropy,win-3,10,0.05731192233609745
AF8,beta,approx_entropy,win-4,10,0.061071831714773324
AF8,beta,approx_entropy,win-5,10,0.0584441510753287
AF8,beta,approx_entropy,win-6,10,0.0598589282412739
AF8,beta,approx_entropy,win-7,10,0.08431179515539242
AF8,beta,approx_entropy,win-8,10,0.08919397081689973
AF8,beta,approx_entropy,win-9,10,0.09739472432937021
AF8,beta,approx_entropy,win0,10,-0.01709388903004374
AF8,beta,energy,win-1,10,-0.16903867165130845
AF8,beta,energy,win-2,10,-0.17792071897950484
AF8,beta,energy,win-3,10,-0.1705379848022566
AF8,beta,energy,win-4,10,-0.1612690512164443
AF8,beta,energy,win-5,10,-0.15946263354342063
AF8,beta,energy,win-6,10,-0.15753407672434783
AF8,beta,energy,win-7,10,-0.1483477890017583
AF8,beta,energy,win-8,10,-0.131469087871231
AF8,beta,energy,win-9,10,-0.14271975472806214
AF8,beta,energy,win0,10,-0.16995811506287076
AF8,beta,skewness,win-1,10,0.019511784487199604
AF8,beta,skewness,win-2,10,0.017229883408056146
AF8,beta,skewness,win-3,10,0.032321297046042384
AF8,beta,skewness,win-4,10,0.04071522961928683
AF8,beta,skewness,win-5,10,0.034666418291061325
AF8,beta,skewness,win-6,10,0.0277112324808896
AF8,beta,skewness,win-7,10,0.033773556643318554
AF8,beta,skewness,win-8,10,0.017292168281115322
AF8,beta,skewness,win-9,10,0.009235080935758625
AF8,beta,skewness,win0,10,0.005355777236187119
AF8,beta,standard_deviation,win-1,10,-0.1609653439867211
AF8,beta,standard_deviation,win-2,10,-0.166865419988195
AF8,beta,standard_deviation,win-3,10,-0.15561559538419614
AF8,beta,standard_deviation,win-4,10,-0.14409606951224838
AF8,beta,standard_deviation,win-5,10,-0.14097469975046245
AF8,beta,standard_deviation,win-6,10,-0.13769559040973886
AF8,beta,standard_deviation,win-7,10,-0.1232123057117354
AF8,beta,standard_deviation,win-8,10,-0.101214255413221
AF8,beta,standard_deviation,win-9,10,-0.10942855377126323
AF8,beta,standard_deviation,win0,10,-0.16707374386001814
AF8,beta,total_variation,win-1,10,-0.17259738229203064
AF8,beta,total_variation,win-2,10,-0.1728687875237702
AF8,beta,total_variation,win-3,10,-0.16492702801112977
AF8,beta,total_variation,win-4,10,-0.15515621655012826
AF8,beta,total_variation,win-5,10,-0.15661292419514855
AF8,beta,total_variation,win-6,10,-0.15874967965319653
AF8,beta,total_variation,win-7,10,-0.14432306458857594
AF8,beta,total_variation,win-8,10,-0.12495048764172825
AF8,beta,total_variation,win-9,10,-0.1345979351722495
AF8,beta,total_variation,win0,10,-0.1764104364510569
AF8,delta,approx_entropy,win-1,10,0.04480426273249883
AF8,delta,approx_entropy,win-2,10,0.05960158974294463
AF8,delta,approx_entropy,win-3,10,0.06759352696504506
AF8,delta,approx_entropy,win-4,10,0.07457091731667256
AF8,delta,approx_entropy,win-5,10,0.08191922850439642
AF8,delta,approx_entropy,win-6,10,0.08656442970318282
AF8,delta,approx_entropy,win-7,10,0.10126622662588204
AF8,delta,approx_entropy,win-8,10,0.10487518156540707
AF8,delta,approx_entropy,win-9,10,0.10908121979528
AF8,delta,approx_entropy,win0,10,0.02700300820524555
