channel,band,feature_type,window_shift,subject_id,mean_correlation
AF8,alpha,skewness,win0,1,-0.009699493348272
AF8,alpha,standard_deviation,win-1,1,0.0839210161607369
AF8,alpha,standard_deviation,win-2,1,0.0750613277993912
AF8,alpha,standard_deviation,win-3,1,0.0726618640425493
AF8,alpha,standard_deviation,win-4,1,0.0703649676301407
AF8,alpha,standard_deviation,win-5,1,0.0779186073947552
AF8,alpha,standard_deviation,win-6,1,0.0864934549825352
AF8,alpha,standard_deviation,win-7,1,0.0882298333174892
AF8,alpha,standard_deviation,win-8,1,0.0953374712775898
AF8,alpha,standard_deviation,win-9,1,0.1080486355327004
AF8,alpha,standard_deviation,win0,1,0.0679346746451049
AF8,alpha,total_variation,win-1,1,0.1001844521568649
AF8,alpha,total_variation,win-2,1,0.0906576564721705
AF8,alpha,total_variation,win-3,1,0.083989318296802
AF8,alpha,total_variation,win-4,1,0.079483937064184
AF8,alpha,total_variation,win-5,1,0.0903411148204149
AF8,alpha,total_variation,win-6,1,0.0970136231766265
AF8,alpha,total_variation,win-7,1,0.0983224841237493
AF8,alpha,total_variation,win-8,1,0.1004165366481464
AF8,alpha,total_variation,win-9,1,0.1086285987091502
AF8,alpha,total_variation,win0,1,0.0900462809728649
AF8,beta,approx_entropy,win-1,1,0.0697775658257242
AF8,beta,approx_entropy,win-2,1,0.0765973434337491
AF8,beta,approx_entropy,win-3,1,0.0575456542930155
AF8,beta,approx_entropy,win-4,1,0.0510776416087443
AF8,beta,approx_entropy,win-5,1,0.0593321537571219
AF8,beta,approx_entropy,win-6,1,0.0586504673025192
AF8,beta,approx_entropy,win-7,1,0.0622778031519497
AF8,beta,approx_entropy,win-8,1,0.0599858630463503
AF8,beta,approx_entropy,win-9,1,0.0672641823346038
AF8,beta,approx_entropy,win0,1,0.0612062585008209
AF8,beta,energy,win-1,1,-0.01111960648446
AF8,beta,energy,win-2,1,-0.0191089626898416
AF8,beta,energy,win-3,1,-0.0262231671852297
AF8,beta,energy,win-4,1,-0.0109706504130934
AF8,beta,energy,win-5,1,-0.0040628452326854
AF8,beta,energy,win-6,1,-0.0017226054286875
AF8,beta,energy,win-7,1,0.0097234693468392
AF8,beta,energy,win-8,1,0.0238435776503506
AF8,beta,energy,win-9,1,0.0257063630296988
AF8,beta,energy,win0,1,-0.0019092033455236
AF8,beta,skewness,win-1,1,-0.006374729213333
AF8,beta,skewness,win-2,1,-0.0100374245834857
AF8,beta,skewness,win-3,1,-0.0001773154385337
AF8,beta,skewness,win-4,1,-0.0069881702947733
AF8,beta,skewness,win-5,1,-0.0204825522496603
AF8,beta,skewness,win-6,1,-0.0056234568265361
AF8,beta,skewness,win-7,1,0.0001563045409707
AF8,beta,skewness,win-8,1,0.0115983859176567
AF8,beta,skewness,win-9,1,0.001260997387612
AF8,beta,skewness,win0,1,-0.0136588192082334
AF8,beta,standard_deviation,win-1,1,-0.011273104929334
AF8,beta,standard_deviation,win-2,1,-0.016959170462546
AF8,beta,standard_deviation,win-3,1,-0.0222244732605461
AF8,beta,standard_deviation,win-4,1,-0.0070124981349725
AF8,beta,standard_deviation,win-5,1,0.0010378223544319
AF8,beta,standard_deviation,win-6,1,0.0048843581436526
AF8,beta,standard_deviation,win-7,1,0.018065320444082
AF8,beta,standard_deviation,win-8,1,0.0340378499922531
AF8,beta,standard_deviation,win-9,1,0.0364154322294364
AF8,beta,standard_deviation,win0,1,-0.0057910664059882
AF8,beta,total_variation,win-1,1,0.0144048087225513
AF8,beta,total_variation,win-2,1,0.0062323576265753
AF8,beta,total_variation,win-3,1,0.0019033610973274
AF8,beta,total_variation,win-4,1,0.0073799941080811
AF8,beta,total_variation,win-5,1,0.0122456690936009
AF8,beta,total_variation,win-6,1,0.0191165519526583
AF8,beta,total_variation,win-7,1,0.0312766838248724
AF8,beta,total_variation,win-8,1,0.0449340054781988
