timestamps,TP9,AF7,AF8,TP10,Right AUX
1712565393.904,-740.234,-1000,-626.953,-936.035,0
1712565393.907,644.531,-36.621,-543.457,40.527,0
1712565393.911,-819.336,-793.457,-589.355,-1000,0
1712565393.917,154.785,223.633,-663.086,-440.918,0
1712565393.921,-1000,-996.582,-694.336,886.23,0
1712565393.924,-1000,-1000,-626.953,-881.348,0
1712565393.928,208.984,-187.012,-576.172,146.973,0
1712565393.932,-820.801,-821.289,-571.289,-1000,0
1712565393.935,84.961,331.055,-608.398,-696.777,0
1712565393.939,-1000,-951.172,-654.297,660.645,0
1712565393.943,-1000,-1000,-628.906,-824.707,0
1712565393.946,-23.438,-242.676,-587.402,169.922,0
1712565393.95,-782.227,-864.258,-552.246,-1000,0
1712565393.954,386.719,496.094,-593.262,-932.129,0
1712565393.957,-921.387,-815.918,-711.914,373.535,0
1712565393.963,-1000,-1000,-669.434,-779.297,0
1712565393.967,-206.055,-319.336,-583.496,140.137,0
1712565393.97,-838.867,-927.246,-564.453,-1000,0
1712565393.974,514.16,634.277,-635.254,-1000,0
1712565393.978,-871.582,-682.129,-706.543,27.832,0
1712565393.981,-1000,-1000,-628.418,-769.531,0
1712565393.985,-237.305,-495.117,-561.035,196.777,0
1712565393.989,-859.375,934.57,-578.125,-1000,0
1712565393.993,550.293,776.367,-624.023,-1000,0
1712565393.996,-837.402,-574.219,-674.316,-210.449,0
1712565394,-1000,-1000,-679.688,-820.312,0
1712565394.004,-256.836,-703.613,-617.676,406.25,0
1712565394.01,-958.008,671.387,-553.223,-933.105,0
1712565394.014,876.465,982.422,-597.168,-1000,0
1712565394.018,-434.082,-331.543,-700.684,-246.582,0
1712565394.021,-1000,-1000,-701.66,-859.375,0
1712565394.025,-355.469,-802.734,-605.957,589.844,0
1712565394.029,926.27,508.789,-520.996,-825.195,0
1712565394.032,-927.246,-889.16,-561.523,-1000,0
1712565394.036,-54.199,-128.418,-679.199,-212.891,0
1712565394.04,-1000,-1000,-676.27,-921.875,0
1712565394.043,-542.48,-999.512,-569.824,803.223,0
1712565394.047,825.195,159.18,-565.918,-531.738,0
1712565394.051,-868.652,-813.477,-601.074,-1000,0
1712565394.057,44.922,-7.812,-670.41,-348.145,0
1712565394.061,-1000,-1000,-706.543,960.449,0
1712565394.065,-806.641,-1000,-632.812,-986.328,0
1712565394.068,522.949,-78.125,-562.012,-232.91,0
1712565394.072,-800.781,-798.34,-565.918,-1000,0
1712565394.076,159.668,136.719,-621.094,-474.609,0
1712565394.079,-1000,-1000,-687.5,856.934,0
1712565394.083,-981.445,-1000,-645.508,-886.719,0
1712565394.087,287.598,-170.41,-507.324,6.836,0
1712565394.09,-772.949,-812.5,-514.648,-1000,0
1712565394.094,163.086,303.711,-652.832,-729.492,0
1712565394.098,-1000,-968.75,-682.129,614.258,0
1712565394.104,-1000,-1000,-630.371,-814.453,0
1712565394.108,63.477,-222.168,-589.355,132.812,0
1712565394.111,-766.602,-843.75,-576.172,-1000,0
1712565394.115,287.598,416.992,-627.441,-1000,0
1712565394.119,-962.402,-884.766,-682.617,254.883,0
1712565394.123,-1000,-1000,-617.188,-823.242,0
1712565394.126,-186.523,-307.129,-552.246,51.758,0
1712565394.13,-824.707,-905.762,-520.508,-1000,0
1712565394.134,465.332,572.266,-572.266,-1000,0
1712565394.137,-896.484,-747.07,-709.961,-2.93,0
1712565394.141,-1000,-1000,-680.176,-774.414,0
1712565394.145,-226.562,-394.531,-567.871,145.996,0
1712565394.151,-908.203,993.652,-552.246,-1000,0
1712565394.154,765.137,805.664,-634.766,-1000,0
1712565394.158,-604.004,-492.676,-699.219,-158.691,0
1712565394.162,-1000,-1000,-666.016,-801.27,0
1712565394.166,-193.848,-542.48,-592.773,317.383,0
1712565394.169,-956.543,842.773,-531.738,-968.262,0
1712565394.173,924.316,953.613,-590.82,-1000,0
1712565394.177,-345.703,-325.195,-656.25,-254.395,0
1712565394.181,-1000,-1000,-633.789,-844.238,0
1712565394.184,-313.965,-788.574,-617.188,494.629,0
1712565394.188,970.215,544.434,-569.336,-890.625,0
